,test_accuracy,test_std,train_accuracy,train_std
"('LUV', '[0, 1]')",0.992819825307319,0.001509202797537401,1.0,0.0
"('YCrCb', '[0, 1, 2]')",0.9925384522065877,0.0012811800763376817,1.0,0.0
"('LUV', '[0, 1, 2]')",0.9924679104458652,0.0011497839813837212,1.0,0.0
"('YCrCb', '[0, 1]')",0.9921869343162126,0.0017136392960901935,1.0,0.0
"('HSV', '[0, 2]')",0.9919751105485061,0.00024717831622846873,1.0,0.0
"('HSV', '[0, 1, 2]')",0.9900035139879904,0.0007143136851890789,1.0,0.0
"('YCrCb', '[0, 2]')",0.988453381621954,0.0020736077801967127,1.0,0.0
"('LUV', '[0, 2]')",0.988243145738563,0.0012139607594361006,1.0,0.0
"('HSV', '[1, 2]')",0.9881032531303551,0.0012036398150659271,1.0,0.0
"('HSV', '[2]')",0.9843722807481095,0.0025081629295211835,1.0,0.0
"('LUV', '[0]')",0.9811317264367495,0.00331430001427642,1.0,0.0
"('YCrCb', '[0]')",0.9802885995622521,0.003072889162476187,1.0,0.0
"('HSV', '[0, 1]')",0.9796580903976189,0.0016752618337224313,1.0,0.0
"('RGB', '[0, 1]')",0.9783869493058405,0.004118416926467825,1.0,0.0
"('RGB', '[0, 1, 2]')",0.9783173999728154,0.00380083043919504,1.0,0.0
"('RGB', '[1]')",0.9766293598539655,0.0015055181545401207,1.0,0.0
"('RGB', '[1, 2]')",0.976559215064322,0.00364884078706026,1.0,0.0
"('LUV', '[1, 2]')",0.9762082926305654,0.0016799248710503759,1.0,0.0
"('RGB', '[0, 2]')",0.9760640333404894,0.004127238518850485,1.0,0.0
"('LUV', '[1]')",0.9757858360083891,0.000841225873634985,1.0,0.0
"('RGB', '[2]')",0.973742308288375,0.004023785363541912,0.999976530229065,4.0650835701486046e-05
"('HSV', '[0]')",0.9723360382413355,0.0019268720353702354,1.0,0.0
"('HSV', '[1]')",0.9720566499959986,0.0025955184517373713,1.0,0.0
"('YCrCb', '[1, 2]')",0.9716330024605856,0.0022563511548082567,1.0,0.0
"('RGB', '[0]')",0.9714901325692857,0.00283139468253344,0.999976530229065,4.0650835701486046e-05
"('YCrCb', '[1]')",0.9700137177326028,0.001897579638926864,1.0,0.0
"('YCrCb', '[2]')",0.9643109503043023,0.001920314754284124,0.999976530229065,4.0650835701486046e-05
"('LUV', '[2]')",0.9636057311826182,0.0012364376689746668,0.999976530229065,4.0650835701486046e-05
